month,crop_category,crop_name,system_type,avg_temp_c,humidity_pct,water_temp_c,vpd_kpa,ph_level,ec_level,dissolved_oxygen,dli_mol_m2_day,is_recommended,risk_factor
Aug,Microgreen,Amaranth,Tray,34.4,90.7,29.4,0.51,5.8,1.7,3.7,13.2,0,Root Rot Risk
Aug,Hydroponic,Bell Pepper,NFT,33.2,86.9,28.2,0.66,5.7,2.4,4.1,10.4,0,Root Rot Risk
Mar,Microgreen,Cilantro,Tray,22.4,50.0,25.4,1.35,7.1,1.3,5.1,16.6,0,Nutrient Lockout
Jun,Microgreen,Kohlrabi,Tray,40.3,23.6,35.3,5.73,7.6,2.1,2.0,18.9,0,Root Rot Risk
Dec,Hydroponic,Spinach,NFT,15.6,40.1,18.6,1.06,6.6,2.4,7.5,9.1,1,Optimal
Mar,Microgreen,Basil (MG),Tray,28.5,39.3,31.5,2.37,6.2,1.1,3.0,15.3,0,Root Rot Risk
Aug,Hydroponic,Cucumber,DWC,28.5,73.2,31.5,1.05,5.4,0.8,3.0,12.7,0,Root Rot Risk
Jun,Microgreen,Beetroot,Tray,38.5,17.6,33.5,5.62,7.3,2.0,2.3,22.2,0,Root Rot Risk
Jun,Hydroponic,Kale,DWC,40.5,17.1,35.5,6.29,6.6,1.7,2.0,19.4,0,Root Rot Risk
Dec,Hydroponic,Strawberry,DWC,8.9,47.6,11.9,0.6,5.6,0.5,9.8,9.9,1,Optimal
Oct,Hydroponic,Mint,NFT,28.4,30.2,31.4,2.69,5.3,0.7,3.0,14.7,0,Root Rot Risk
Dec,Microgreen,Beetroot,Tray,14.7,41.1,17.7,0.99,5.4,1.3,7.8,10.3,0,Nutrient Lockout
Sep,Microgreen,Pea Shoots,Tray,34.0,81.8,29.0,0.97,6.4,1.1,3.9,12.2,0,Root Rot Risk
Jan,Microgreen,Beetroot,Tray,9.8,58.1,12.8,0.51,7.0,1.9,9.5,11.1,1,Optimal
Apr,Hydroponic,Basil (Hydro),DWC,37.9,29.8,32.9,4.64,5.3,0.6,2.5,21.5,0,Root Rot Risk
Apr,Microgreen,Radish,Tray,47.8,21.0,42.8,8.74,5.4,2.0,2.0,22.0,0,Root Rot Risk
Aug,Microgreen,Mustard,Tray,28.6,91.0,31.6,0.35,5.9,2.0,2.9,11.7,0,Root Rot Risk
Apr,Microgreen,Amaranth,Tray,44.2,15.4,39.2,7.78,6.7,2.0,2.0,22.2,0,Root Rot Risk
Jul,Microgreen,Mustard,Tray,31.1,77.9,26.1,1.0,5.6,2.1,4.8,8.6,0,Root Rot Risk
May,Microgreen,Arugula,Tray,45.6,26.1,40.6,7.3,5.3,2.1,2.0,20.0,0,Root Rot Risk
Mar,Microgreen,Broccoli,Tray,22.2,47.4,25.2,1.41,5.9,2.4,5.2,16.6,1,Optimal
Oct,Hydroponic,Lettuce,DWC,23.4,32.3,26.4,1.95,5.9,0.8,4.8,19.1,0,Root Rot Risk
Apr,Microgreen,Broccoli,Tray,38.3,25.7,33.3,5.01,7.8,1.8,2.3,20.2,0,Root Rot Risk
Mar,Hydroponic,Lettuce,NFT,28.8,46.3,31.8,2.13,7.6,1.5,2.9,15.4,0,Root Rot Risk
Sep,Hydroponic,Strawberry,DWC,33.7,81.8,28.7,0.95,5.8,1.9,4.0,12.4,0,Root Rot Risk
Aug,Hydroponic,Celery,DWC,32.6,85.4,27.6,0.72,7.7,2.2,4.4,10.2,0,Root Rot Risk
Sep,Microgreen,Beetroot,Tray,30.5,85.3,25.5,0.64,7.1,0.9,5.1,8.3,0,Mold/Fungal Risk
Apr,Microgreen,Beetroot,Tray,45.5,21.3,40.5,7.75,6.2,1.1,2.0,23.9,0,Root Rot Risk
Nov,Hydroponic,Mint,NFT,15.9,51.2,18.9,0.88,6.9,1.1,7.4,6.9,1,Optimal
Aug,Microgreen,Kohlrabi,Tray,34.4,74.4,29.4,1.39,7.0,1.4,3.7,10.0,0,Root Rot Risk
May,Hydroponic,Bell Pepper,DWC,39.0,16.1,34.0,5.86,5.3,0.8,2.1,23.7,0,Root Rot Risk
Sep,Microgreen,Sunflower,Tray,34.5,73.6,29.5,1.44,5.8,2.0,3.7,9.6,0,Root Rot Risk
Jul,Hydroponic,Strawberry,DWC,29.3,80.1,32.3,0.81,5.7,0.6,2.7,13.6,0,Root Rot Risk
Jan,Microgreen,Arugula,Tray,17.7,49.6,20.7,1.02,6.4,1.9,6.8,8.5,1,Optimal
Feb,Hydroponic,Lettuce,NFT,27.6,30.5,30.6,2.56,7.7,0.7,3.3,18.1,0,Root Rot Risk
Jul,Hydroponic,Basil (Hydro),NFT,32.0,74.4,27.0,1.22,6.5,0.9,4.5,10.4,0,Root Rot Risk
Jul,Microgreen,Cilantro,Tray,34.8,89.2,29.8,0.6,5.7,1.7,3.6,13.5,0,Root Rot Risk
Sep,Hydroponic,Bell Pepper,DWC,28.9,74.7,31.9,1.01,7.5,2.4,2.8,13.4,0,Root Rot Risk
Mar,Microgreen,Sunflower,Tray,27.8,41.4,30.8,2.19,7.0,2.5,3.2,14.4,0,Root Rot Risk
Feb,Microgreen,Amaranth,Tray,26.5,33.3,29.5,2.31,7.2,2.1,3.7,16.9,0,Root Rot Risk
Apr,Hydroponic,Bell Pepper,NFT,36.4,15.8,31.4,5.12,6.7,1.6,3.0,22.5,0,Root Rot Risk
Nov,Microgreen,Beetroot,Tray,13.5,59.3,16.5,0.63,5.3,1.9,8.2,11.7,0,Nutrient Lockout
Nov,Microgreen,Amaranth,Tray,11.3,40.2,14.3,0.8,5.4,1.3,9.0,7.7,0,Nutrient Lockout
Jul,Hydroponic,Bell Pepper,NFT,30.2,78.8,25.2,0.91,5.8,2.3,5.2,8.3,1,Optimal
Aug,Hydroponic,Basil (Hydro),NFT,34.0,92.8,29.0,0.38,7.4,0.7,3.9,8.6,0,Root Rot Risk
May,Hydroponic,Cherry Tomato,DWC,44.5,28.1,39.5,6.72,7.6,1.3,2.0,18.5,0,Root Rot Risk
Dec,Microgreen,Beetroot,Tray,14.0,42.7,17.0,0.92,6.4,2.1,8.0,6.0,1,Optimal
Dec,Microgreen,Arugula,Tray,14.9,42.8,17.9,0.97,5.9,1.4,7.7,8.8,1,Optimal
Feb,Microgreen,Sunflower,Tray,27.5,30.1,30.5,2.57,5.6,0.5,3.3,19.5,0,Root Rot Risk
Jan,Hydroponic,Lettuce,DWC,15.8,50.0,18.8,0.89,7.1,1.3,7.4,10.9,0,Nutrient Lockout
Apr,Hydroponic,Kale,NFT,46.2,28.6,41.2,7.27,6.7,0.7,2.0,22.6,0,Root Rot Risk
Jul,Hydroponic,Lettuce,NFT,33.2,92.7,28.2,0.37,7.4,1.8,4.1,10.3,0,Root Rot Risk
Sep,Microgreen,Broccoli,Tray,32.8,83.8,27.8,0.8,5.3,1.9,4.3,13.0,0,Root Rot Risk
Sep,Microgreen,Beetroot,Tray,29.1,70.5,32.1,1.19,7.6,0.5,2.8,9.6,0,Root Rot Risk
Sep,Microgreen,Basil (MG),Tray,28.4,89.2,31.4,0.42,6.1,1.2,3.0,8.2,0,Root Rot Risk
Sep,Hydroponic,Celery,NFT,31.6,72.6,26.6,1.27,7.1,2.4,4.7,13.6,0,Root Rot Risk
Mar,Microgreen,Beetroot,Tray,29.0,48.3,32.0,2.07,7.7,1.1,2.8,16.6,0,Root Rot Risk
Aug,Microgreen,Beetroot,Tray,29.7,85.8,32.7,0.59,7.5,2.1,2.6,14.9,0,Root Rot Risk
Aug,Microgreen,Broccoli,Tray,32.4,77.5,27.4,1.1,7.0,0.9,4.4,10.8,0,Root Rot Risk
Aug,Microgreen,Cilantro,Tray,33.7,81.8,28.7,0.95,5.4,1.7,4.0,13.2,0,Root Rot Risk
Feb,Hydroponic,Mint,NFT,31.8,30.4,26.8,3.27,7.8,2.2,4.6,18.9,0,Root Rot Risk
May,Microgreen,Mustard,Tray,36.5,29.0,31.5,4.33,5.7,1.3,3.0,19.7,0,Root Rot Risk
Oct,Hydroponic,Basil (Hydro),NFT,31.4,43.4,26.4,2.6,7.5,1.6,4.8,16.5,0,Root Rot Risk
Mar,Microgreen,Pea Shoots,Tray,29.9,35.1,32.9,2.74,5.6,2.0,2.5,15.8,0,Root Rot Risk
Oct,Hydroponic,Celery,NFT,27.1,43.9,30.1,2.01,6.9,1.8,3.5,15.5,0,Root Rot Risk
Dec,Hydroponic,Mint,NFT,12.3,50.3,15.3,0.71,5.7,0.8,8.6,6.7,1,Optimal
Feb,Hydroponic,Cucumber,DWC,26.1,36.5,29.1,2.14,6.5,1.8,3.8,14.4,0,Root Rot Risk
Aug,Microgreen,Broccoli,Tray,28.1,89.0,31.1,0.42,6.4,1.6,3.1,9.8,0,Root Rot Risk
Jul,Hydroponic,Kale,DWC,34.6,89.6,29.6,0.57,5.4,1.2,3.6,14.5,0,Root Rot Risk
Mar,Microgreen,Pea Shoots,Tray,22.3,30.1,25.3,1.89,7.7,1.2,5.1,17.3,0,Nutrient Lockout
Jan,Hydroponic,Spinach,NFT,11.7,53.5,14.7,0.64,6.8,1.5,8.9,8.0,1,Optimal
Dec,Microgreen,Pea Shoots,Tray,9.0,45.7,12.0,0.62,5.5,2.1,9.8,5.6,1,Optimal
Sep,Hydroponic,Pak Choi,DWC,29.3,77.7,32.3,0.91,7.4,2.1,2.7,9.6,0,Root Rot Risk
Aug,Hydroponic,Cherry Tomato,DWC,29.5,84.6,32.5,0.63,6.2,1.5,2.6,13.0,0,Root Rot Risk
Jul,Hydroponic,Strawberry,DWC,31.7,85.8,26.7,0.66,6.8,2.0,4.6,12.0,0,Root Rot Risk
Jul,Hydroponic,Spinach,DWC,33.1,72.0,28.1,1.42,6.4,1.0,4.2,12.7,0,Root Rot Risk
Oct,Hydroponic,Strawberry,DWC,30.6,48.2,25.6,2.27,6.1,2.2,5.1,14.6,1,Optimal
Jan,Hydroponic,Cherry Tomato,NFT,17.3,50.1,20.3,0.99,5.8,1.8,6.9,11.3,1,Optimal
Aug,Hydroponic,Strawberry,NFT,32.4,85.7,27.4,0.69,7.1,0.9,4.4,13.7,0,Root Rot Risk
Dec,Microgreen,Sunflower,Tray,16.4,55.3,19.4,0.84,5.2,0.9,7.2,5.7,0,Nutrient Lockout
Dec,Hydroponic,Cucumber,NFT,13.0,52.6,16.0,0.71,6.0,0.9,8.4,9.5,1,Optimal
Jun,Microgreen,Mustard,Tray,40.3,28.6,35.3,5.35,5.3,1.4,2.0,19.2,0,Root Rot Risk
Sep,Hydroponic,Pak Choi,DWC,28.4,90.6,31.4,0.36,7.4,1.9,3.0,8.8,0,Root Rot Risk
Jul,Microgreen,Mustard,Tray,32.9,86.8,27.9,0.66,5.5,2.0,4.2,13.5,0,Root Rot Risk
Dec,Hydroponic,Basil (Hydro),NFT,17.7,51.7,20.7,0.98,5.4,0.6,6.7,5.2,0,Nutrient Lockout
Feb,Hydroponic,Cherry Tomato,DWC,24.1,37.2,27.1,1.88,6.9,2.1,4.5,19.1,0,Root Rot Risk
Mar,Hydroponic,Basil (Hydro),NFT,23.5,43.7,26.5,1.63,6.7,1.0,4.7,15.7,0,Root Rot Risk
Apr,Hydroponic,Mint,NFT,36.1,18.7,31.1,4.85,7.6,2.2,3.1,24.0,0,Root Rot Risk
Dec,Microgreen,Beetroot,Tray,12.1,53.5,15.1,0.66,5.4,2.4,8.7,8.1,0,Nutrient Lockout
Jan,Microgreen,Cilantro,Tray,17.9,40.6,20.9,1.22,6.7,1.1,6.7,6.2,1,Optimal
Jun,Hydroponic,Pak Choi,DWC,46.0,17.3,41.0,8.35,7.4,1.3,2.0,22.9,0,Root Rot Risk
Jan,Hydroponic,Pak Choi,DWC,18.8,54.2,21.8,1.0,6.6,0.8,6.4,5.1,1,Optimal
Dec,Hydroponic,Lettuce,DWC,15.8,43.5,18.8,1.02,7.4,2.2,7.4,6.6,0,Nutrient Lockout
Nov,Hydroponic,Basil (Hydro),NFT,8.4,44.3,11.4,0.61,7.8,0.9,10.0,7.4,0,Nutrient Lockout
Mar,Hydroponic,Spinach,NFT,28.0,41.5,31.0,2.21,7.7,1.5,3.2,18.6,0,Root Rot Risk
Dec,Hydroponic,Strawberry,DWC,15.3,42.9,18.3,0.99,7.6,1.1,7.6,7.1,0,Nutrient Lockout
Jul,Microgreen,Cilantro,Tray,31.0,88.3,26.0,0.53,6.3,2.4,4.9,8.1,0,Mold/Fungal Risk
Dec,Hydroponic,Basil (Hydro),DWC,18.1,43.9,21.1,1.17,7.4,1.8,6.6,10.3,0,Nutrient Lockout
Apr,Microgreen,Pea Shoots,Tray,44.5,25.8,39.5,6.94,7.3,2.4,2.0,21.4,0,Root Rot Risk
Aug,Hydroponic,Bell Pepper,DWC,32.9,75.5,27.9,1.22,5.4,0.7,4.3,13.6,0,Root Rot Risk
Aug,Hydroponic,Spinach,NFT,30.9,92.0,25.9,0.36,5.5,1.7,5.0,10.2,0,VPD Stress
Aug,Microgreen,Broccoli,Tray,30.0,71.6,33.0,1.2,6.6,0.9,2.5,11.8,0,Root Rot Risk
Feb,Microgreen,Radish,Tray,24.2,37.5,27.2,1.88,6.0,1.2,4.5,19.4,0,Root Rot Risk
Mar,Hydroponic,Basil (Hydro),DWC,26.1,39.1,29.1,2.06,5.6,1.3,3.8,18.3,0,Root Rot Risk
Jun,Microgreen,Broccoli,Tray,46.2,26.6,41.2,7.47,5.3,1.8,2.0,21.8,0,Root Rot Risk
Mar,Microgreen,Basil (MG),Tray,23.9,49.5,26.9,1.5,6.1,0.7,4.6,14.2,0,Root Rot Risk
Dec,Hydroponic,Bell Pepper,DWC,9.0,56.8,12.0,0.5,6.7,0.7,9.8,11.9,1,Optimal
Jul,Hydroponic,Mint,DWC,29.8,74.3,32.8,1.08,6.6,1.2,2.5,14.8,0,Root Rot Risk
Nov,Microgreen,Amaranth,Tray,8.2,46.4,11.2,0.58,5.6,2.4,10.1,7.5,1,Optimal
Dec,Microgreen,Radish,Tray,8.5,40.4,11.5,0.66,6.4,2.0,10.0,5.2,1,Optimal
Nov,Hydroponic,Basil (Hydro),DWC,10.9,50.2,13.9,0.65,6.7,0.9,9.1,9.6,1,Optimal
Jan,Microgreen,Kohlrabi,Tray,13.6,42.0,16.6,0.9,7.2,1.4,8.2,7.6,0,Nutrient Lockout
Jun,Microgreen,Kohlrabi,Tray,42.1,17.8,37.1,6.79,6.6,1.6,2.0,21.4,0,Root Rot Risk
Aug,Hydroponic,Cucumber,NFT,32.6,92.5,27.6,0.37,5.3,0.5,4.3,12.9,0,Root Rot Risk
Dec,Microgreen,Broccoli,Tray,13.5,42.7,16.5,0.88,5.2,1.8,8.2,7.7,0,Nutrient Lockout
May,Microgreen,Kohlrabi,Tray,44.0,19.2,39.0,7.36,6.0,0.5,2.0,19.9,0,Root Rot Risk
Aug,Hydroponic,Strawberry,NFT,32.8,90.4,27.8,0.48,6.6,1.0,4.3,14.0,0,Root Rot Risk
Oct,Hydroponic,Cherry Tomato,DWC,23.9,43.1,26.9,1.69,6.9,0.6,4.6,16.7,0,Root Rot Risk
Sep,Microgreen,Cilantro,Tray,30.5,90.5,25.5,0.41,6.1,2.4,5.1,13.5,0,Mold/Fungal Risk
Nov,Microgreen,Arugula,Tray,18.4,56.9,21.4,0.91,6.1,1.4,6.5,6.4,1,Optimal
Jan,Microgreen,Amaranth,Tray,16.9,44.9,19.9,1.06,6.9,2.4,7.0,10.0,1,Optimal
Apr,Microgreen,Amaranth,Tray,41.1,22.3,36.1,6.07,5.6,2.3,2.0,22.7,0,Root Rot Risk
Nov,Microgreen,Amaranth,Tray,12.0,41.6,15.0,0.82,5.2,1.2,8.8,6.7,0,Nutrient Lockout
Aug,Microgreen,Pea Shoots,Tray,32.8,78.2,27.8,1.08,7.5,1.6,4.3,13.4,0,Root Rot Risk
Feb,Microgreen,Cilantro,Tray,25.8,30.8,28.8,2.29,6.0,1.5,3.9,14.9,0,Root Rot Risk
Jan,Hydroponic,Bell Pepper,NFT,17.8,49.1,20.8,1.03,6.5,1.5,6.7,11.0,1,Optimal
Sep,Microgreen,Pea Shoots,Tray,34.1,83.9,29.1,0.86,5.6,0.9,3.8,9.7,0,Root Rot Risk
Jan,Hydroponic,Cherry Tomato,DWC,16.7,57.0,19.7,0.82,5.5,0.5,7.1,7.4,1,Optimal
Apr,Microgreen,Pea Shoots,Tray,42.4,17.3,37.4,6.93,5.5,1.6,2.0,24.2,0,Root Rot Risk
Nov,Hydroponic,Kale,DWC,9.2,57.6,12.2,0.49,5.4,2.4,9.7,5.0,0,Nutrient Lockout
Jun,Hydroponic,Strawberry,DWC,37.9,24.9,32.9,4.94,7.5,1.6,2.5,24.8,0,Root Rot Risk
Apr,Microgreen,Sunflower,Tray,36.9,29.4,31.9,4.41,7.0,0.7,2.8,24.8,0,Root Rot Risk
Aug,Hydroponic,Cherry Tomato,NFT,31.8,87.2,26.8,0.6,5.3,1.9,4.6,13.2,0,Root Rot Risk
Aug,Microgreen,Basil (MG),Tray,28.6,84.3,31.6,0.62,5.7,1.3,2.9,13.7,0,Root Rot Risk
Jun,Microgreen,Beetroot,Tray,41.8,20.2,36.8,6.46,6.6,1.1,2.0,20.9,0,Root Rot Risk
Feb,Hydroponic,Bell Pepper,DWC,27.7,30.8,30.7,2.57,6.4,0.8,3.3,19.7,0,Root Rot Risk
Aug,Microgreen,Sunflower,Tray,31.3,91.2,26.3,0.4,6.5,0.6,4.8,10.7,0,Root Rot Risk
Sep,Hydroponic,Cucumber,NFT,32.0,85.5,27.0,0.69,6.2,1.5,4.5,13.2,0,Root Rot Risk
Jun,Hydroponic,Lettuce,DWC,37.9,23.0,32.9,5.08,5.3,2.4,2.5,24.4,0,Root Rot Risk
Sep,Hydroponic,Lettuce,DWC,32.5,87.0,27.5,0.64,7.7,1.2,4.4,8.5,0,Root Rot Risk
Oct,Hydroponic,Basil (Hydro),NFT,29.5,30.4,32.5,2.86,5.4,1.5,2.6,16.1,0,Root Rot Risk
Nov,Hydroponic,Strawberry,NFT,16.5,42.1,19.5,1.09,5.2,0.7,7.2,11.8,0,Nutrient Lockout
Feb,Microgreen,Broccoli,Tray,31.7,35.3,26.7,3.02,7.3,0.6,4.7,16.3,0,Root Rot Risk
Feb,Hydroponic,Cucumber,DWC,25.8,39.7,28.8,2.0,7.3,2.0,3.9,16.4,0,Root Rot Risk
Jan,Hydroponic,Strawberry,NFT,15.3,48.9,18.3,0.89,6.7,1.5,7.6,8.1,1,Optimal
Dec,Microgreen,Basil (MG),Tray,9.2,58.2,12.2,0.49,6.3,1.3,9.7,8.6,1,Optimal
Jul,Hydroponic,Lettuce,NFT,32.1,94.5,27.1,0.26,6.3,1.9,4.5,11.4,0,Root Rot Risk
Sep,Microgreen,Mustard,Tray,29.9,81.3,32.9,0.79,7.2,1.3,2.5,10.6,0,Root Rot Risk
Oct,Microgreen,Sunflower,Tray,25.8,49.8,28.8,1.67,7.3,1.5,3.9,18.2,0,Root Rot Risk
Nov,Hydroponic,Cucumber,NFT,16.9,44.2,19.9,1.08,7.1,2.0,7.0,6.7,0,Nutrient Lockout
Oct,Microgreen,Arugula,Tray,27.2,47.0,30.2,1.92,7.3,1.1,3.4,15.9,0,Root Rot Risk
Sep,Microgreen,Radish,Tray,34.3,84.1,29.3,0.86,5.7,1.4,3.8,11.7,0,Root Rot Risk
Sep,Microgreen,Radish,Tray,33.8,70.3,28.8,1.56,5.9,1.4,3.9,9.3,0,Root Rot Risk
Dec,Hydroponic,Cucumber,DWC,10.7,40.5,13.7,0.76,6.4,1.1,9.2,5.6,1,Optimal
Jul,Hydroponic,Cucumber,NFT,28.3,88.0,31.3,0.46,7.7,1.4,3.1,13.4,0,Root Rot Risk
Feb,Hydroponic,Spinach,DWC,23.3,42.0,26.3,1.66,6.1,2.4,4.8,16.7,0,Root Rot Risk
Sep,Microgreen,Broccoli,Tray,30.8,80.7,25.8,0.86,7.5,1.4,5.0,14.5,0,Nutrient Lockout
Aug,Microgreen,Sunflower,Tray,31.7,91.2,26.7,0.41,7.8,2.2,4.6,12.9,0,Root Rot Risk
May,Microgreen,Broccoli,Tray,36.4,18.0,31.4,4.99,7.6,1.0,3.0,23.8,0,Root Rot Risk
Mar,Hydroponic,Pak Choi,NFT,30.4,35.0,25.4,2.83,7.0,1.5,5.1,17.1,0,VPD Stress
Mar,Hydroponic,Lettuce,NFT,22.7,46.9,25.7,1.46,6.4,0.6,5.0,18.2,1,Optimal
Jun,Hydroponic,Basil (Hydro),DWC,46.4,17.2,41.4,8.5,6.2,1.8,2.0,19.1,0,Root Rot Risk
Sep,Hydroponic,Spinach,NFT,32.5,90.2,27.5,0.48,7.5,2.3,4.4,8.8,0,Root Rot Risk
Aug,Hydroponic,Basil (Hydro),NFT,31.9,74.7,26.9,1.2,7.5,1.0,4.6,14.5,0,Root Rot Risk
Nov,Hydroponic,Celery,NFT,12.1,51.5,15.1,0.68,5.7,2.0,8.7,9.5,1,Optimal
Jan,Microgreen,Radish,Tray,11.7,53.7,14.7,0.64,7.7,0.9,8.8,11.2,0,Nutrient Lockout
Dec,Hydroponic,Mint,DWC,11.5,46.6,14.5,0.73,5.5,1.0,8.9,10.4,1,Optimal
Jun,Hydroponic,Basil (Hydro),DWC,46.6,27.9,41.6,7.5,7.3,1.3,2.0,23.2,0,Root Rot Risk
Dec,Hydroponic,Spinach,NFT,15.9,53.3,18.9,0.84,7.2,1.0,7.4,8.2,0,Nutrient Lockout
Nov,Microgreen,Kohlrabi,Tray,18.7,48.4,21.7,1.11,5.8,2.0,6.4,5.7,1,Optimal
Dec,Hydroponic,Cherry Tomato,NFT,19.9,46.8,22.9,1.23,6.2,0.8,6.0,6.6,1,Optimal
Apr,Microgreen,Beetroot,Tray,41.4,29.5,36.4,5.59,6.6,0.5,2.0,19.4,0,Root Rot Risk
Dec,Hydroponic,Cherry Tomato,NFT,16.6,41.9,19.6,1.1,7.7,0.7,7.1,11.5,0,Nutrient Lockout
Feb,Hydroponic,Cherry Tomato,DWC,24.1,31.9,27.1,2.05,5.8,2.3,4.5,14.9,0,Root Rot Risk
Jun,Microgreen,Broccoli,Tray,41.4,20.6,36.4,6.29,6.3,0.6,2.0,23.8,0,Root Rot Risk
Dec,Hydroponic,Basil (Hydro),NFT,16.7,45.1,19.7,1.04,7.2,0.6,7.1,11.8,0,Nutrient Lockout
Mar,Hydroponic,Lettuce,DWC,29.4,35.3,32.4,2.65,7.5,2.2,2.7,16.7,0,Root Rot Risk
Apr,Hydroponic,Spinach,DWC,44.3,28.8,39.3,6.57,7.0,2.1,2.0,22.1,0,Root Rot Risk
Mar,Microgreen,Radish,Tray,25.8,47.1,28.8,1.76,7.2,0.7,3.9,14.6,0,Root Rot Risk
Jul,Hydroponic,Lettuce,DWC,34.1,94.8,29.1,0.28,6.9,0.9,3.8,8.2,0,Root Rot Risk
Jan,Microgreen,Pea Shoots,Tray,11.6,54.5,14.6,0.62,6.4,2.4,8.9,8.7,1,Optimal
Nov,Hydroponic,Bell Pepper,DWC,13.0,41.1,16.0,0.88,5.6,0.6,8.4,10.5,1,Optimal
Nov,Microgreen,Mustard,Tray,15.1,41.8,18.1,1.0,7.3,2.3,7.7,6.9,0,Nutrient Lockout
Mar,Microgreen,Radish,Tray,22.1,34.2,25.1,1.75,6.5,0.9,5.2,17.2,1,Optimal
Jun,Hydroponic,Kale,NFT,41.0,15.9,36.0,6.54,5.2,2.2,2.0,19.0,0,Root Rot Risk
Jan,Hydroponic,Pak Choi,NFT,18.5,55.0,21.5,0.96,6.6,2.1,6.5,7.1,1,Optimal
Mar,Microgreen,Broccoli,Tray,30.2,39.9,25.2,2.58,7.7,1.1,5.2,19.1,0,VPD Stress
Nov,Hydroponic,Cucumber,DWC,10.4,52.3,13.4,0.6,7.7,0.8,9.3,8.3,0,Nutrient Lockout
May,Microgreen,Sunflower,Tray,45.1,21.3,40.1,7.59,7.4,0.6,2.0,24.7,0,Root Rot Risk
Nov,Microgreen,Sunflower,Tray,8.5,40.0,11.5,0.66,6.6,2.1,10.0,7.7,1,Optimal
Nov,Microgreen,Cilantro,Tray,13.9,57.6,16.9,0.67,7.7,2.0,8.1,5.9,0,Nutrient Lockout
May,Microgreen,Beetroot,Tray,37.6,27.6,32.6,4.7,6.4,1.8,2.6,21.3,0,Root Rot Risk
May,Hydroponic,Cucumber,DWC,47.7,25.4,42.7,8.21,6.9,2.3,2.0,22.0,0,Root Rot Risk
Jun,Hydroponic,Lettuce,DWC,37.6,19.7,32.6,5.22,6.8,2.0,2.6,24.8,0,Root Rot Risk
Nov,Microgreen,Beetroot,Tray,11.2,48.7,14.2,0.68,5.6,2.0,9.0,5.7,1,Optimal
Jan,Microgreen,Basil (MG),Tray,10.9,57.1,13.9,0.56,7.2,2.1,9.1,6.4,0,Nutrient Lockout
Mar,Microgreen,Arugula,Tray,29.2,43.5,32.2,2.29,6.5,0.8,2.7,15.2,0,Root Rot Risk
Sep,Microgreen,Amaranth,Tray,30.0,85.6,33.0,0.61,5.3,0.8,2.5,12.9,0,Root Rot Risk
Feb,Microgreen,Kohlrabi,Tray,23.6,41.9,26.6,1.69,7.3,0.9,4.7,18.9,0,Root Rot Risk
Dec,Hydroponic,Bell Pepper,DWC,9.0,41.0,12.0,0.68,6.7,2.5,9.8,11.2,1,Optimal
Feb,Hydroponic,Pak Choi,NFT,22.2,41.5,25.2,1.56,5.8,0.9,5.2,19.6,1,Optimal
Feb,Hydroponic,Pak Choi,DWC,27.2,34.4,30.2,2.36,5.8,1.8,3.4,15.7,0,Root Rot Risk
Mar,Hydroponic,Mint,DWC,31.8,47.0,26.8,2.49,5.5,1.1,4.6,19.2,0,Root Rot Risk
Sep,Hydroponic,Lettuce,DWC,33.8,83.1,28.8,0.89,7.0,1.6,3.9,8.9,0,Root Rot Risk
May,Hydroponic,Spinach,NFT,37.9,22.2,32.9,5.13,6.9,1.3,2.5,18.9,0,Root Rot Risk
Mar,Hydroponic,Strawberry,DWC,27.7,43.7,30.7,2.09,7.2,0.5,3.2,15.9,0,Root Rot Risk
Sep,Hydroponic,Basil (Hydro),DWC,31.6,82.0,26.6,0.83,7.6,2.5,4.7,11.3,0,Root Rot Risk
Jan,Microgreen,Amaranth,Tray,11.7,52.1,14.7,0.66,6.1,2.3,8.9,6.4,1,Optimal
May,Microgreen,Basil (MG),Tray,36.4,22.6,31.4,4.69,6.8,1.2,3.0,21.9,0,Root Rot Risk
Apr,Hydroponic,Lettuce,NFT,45.8,19.7,40.8,8.02,7.1,2.0,2.0,23.0,0,Root Rot Risk
Jun,Hydroponic,Bell Pepper,DWC,39.4,20.4,34.4,5.67,7.7,1.7,2.0,18.9,0,Root Rot Risk
Dec,Microgreen,Amaranth,Tray,18.3,52.7,21.3,0.99,5.6,2.5,6.6,7.8,1,Optimal
Dec,Microgreen,Amaranth,Tray,17.5,41.1,20.5,1.18,7.3,2.0,6.8,8.8,0,Nutrient Lockout
Aug,Hydroponic,Basil (Hydro),DWC,30.3,78.7,25.3,0.92,6.4,1.7,5.1,15.0,1,Optimal
May,Hydroponic,Mint,DWC,45.6,28.2,40.6,7.09,7.4,1.3,2.0,20.4,0,Root Rot Risk
Jun,Hydroponic,Bell Pepper,NFT,43.8,29.6,38.8,6.34,5.9,1.7,2.0,21.7,0,Root Rot Risk
Feb,Microgreen,Basil (MG),Tray,31.6,42.5,26.6,2.67,7.4,2.4,4.7,16.2,0,Root Rot Risk
Aug,Microgreen,Mustard,Tray,28.9,71.2,31.9,1.15,5.4,1.7,2.8,8.4,0,Root Rot Risk
Aug,Microgreen,Arugula,Tray,34.6,84.1,29.6,0.88,6.9,1.7,3.6,12.3,0,Root Rot Risk
Jan,Microgreen,Pea Shoots,Tray,14.0,59.0,17.0,0.65,7.1,2.0,8.1,8.1,0,Nutrient Lockout
